"","Genus","Fall","Spring","Summer","Winter"
"1","Acremonium",0.0735031734990167,1.45406382473546,0,0
"2","Acrophialophora",0,0,0.0395964384658628,0
"3","Akanthomyces",0,0.00689863230392907,0,0.000946283339114533
"4","Alternaria",3.19083425699827,0.733580761315152,0.0578106584199374,0.274516156323889
"5","Apiotrichum",6.48504321774779,1.13241307201431,2.11892173729469,0.972296900810376
"6","Aspergillus",3.16409718354597,4.94659908053325,0.53546325282621,10.9985653824397
"7","Aureobasidium",1.32972695124828,6.39972732700871,1.36743734989578,1.51562425201621
"8","Bisifusarium",0.00836848777687283,0.040898608109006,0.0112773414003717,0.00125924514936346
"9","Bjerkandera",0.00140474350460737,0.00327581096631444,0,0.00831150744567088
"10","Botryotrichum",0.0168144447402871,0,0,0
"11","Bullera",0.00671063297297638,0.0111498068438506,0,0
"12","Cadophora",0.00117865723740877,0.0145785166399941,0.00757417962166973,0
"13","Candida",3.3141800827208,4.3286940005139,5.86860544743917,9.46489654241774
"14","Capnodiales_gen_Incertae_sedis",0,0.00394649623653026,0,0
"15","Cephaloascus",0.356960717054405,0.215135912140759,0.0562860219421593,0.169794877389766
"16","Ceratocystidaceae_gen_Incertae_sedis",0.0181087178870221,0.00455076042297348,0.00419923839076344,0.0281231127132952
"17","Chaetomium",0.071207725017364,1.56696192435786,0.0274213726364875,0.371833315718696
"18","Chaetothyriales_gen_Incertae_sedis",0,0.984598533606158,0,0
"19","Chordomyces",1.83669005715923,1.33116647609643,2.98367359861335,0
"20","Citeromyces",0.0143311923834514,0.00642058949397631,0,0
"21","Cladosporium",10.2646387217085,6.98617340361877,1.83785844631233,5.86565290847873
"22","Clavispora",0.0250063157925965,0.167543993348847,0.0042794786764821,0.00893867734666324
"23","Cleistothelebolus",0.00576897209600923,0.00154552955575996,0,0
"24","Clonostachys",0.000200618909335299,0.0154503150631855,0.130667942145748,0
"25","Coniochaeta",0.164562289176985,0.525269269087144,0.0999303595191347,0.292375121480086
"26","Coniosporium",0,0.147477049773421,0.00442586210143699,0.011265169574939
"27","Coniothyrium",0.00652283249333034,0.104297234782763,0.00880217460039865,0.0148657593878673
"28","Cosmospora",0.0142920335337285,0.00264155053414473,0,0.019523536657143
"29","Cryptococcus",0.0345255627605634,1.27164473697519,0.27891472397223,0.121337089560392
"30","Curvibasidium",0.158650649999029,0.035971218900896,0,0.151547576701908
"31","Curvularia",0,0.00986246428630371,0,0.0136168211360374
"32","Cutaneotrichosporon",0.643859345045291,5.04450099163578,1.62081965140774,0.435422779566418
"33","Cyberlindnera",0.00742084102381849,0.0870853716288333,0,0.203047279775969
"34","Cyphellophora",0.905388533848123,0.0449438268620734,0.0849148440246085,0.407155690576241
"35","Cystobasidium",0.349198289061217,2.1461517470135,1.5798407195183,2.89770554156742
"36","Cystofilobasidiaceae_gen_Incertae_sedis",0.00112185732336652,0.00102550429173546,0,0
"37","Cystofilobasidium",0.655247086628376,2.98886764313648,1.39275264021878,3.05829154327582
"38","Cytospora",0,0.0216143969383233,0,0.00348954747775888
"39","Debaryomyces",1.89623147578136,3.73227266720636,0,4.0254451661345
"40","Dictyosporiaceae_gen_Incertae_sedis",0.11204867632102,0.305544633076413,0.0236201305521415,0.0831184984548267
"41","Didymella",9.4311786347227,9.48484099624451,7.54729441491871,10.898674796784
"42","Dioszegia",0.0562359819392804,0.272117709136191,0.0495919619870028,1.18631782831427
"43","Diplodia",0,0.0205826419995229,0,0
"44","Dipodascus",0,0.0107719954700113,0,0
"45","Diutina",0.00930995449357977,0.0130874357188803,0,0.00550206908752778
"46","Effuseotrichosporon",0.0100629472973976,0.000206284574154147,0,0
"47","Eucasphaeria",0.00366680846415796,0.0764839709186314,0,0.00226517124179776
"48","Exophiala",2.89668414177282,2.58059449841036,5.02659106631794,1.417981275124
"49","Filobasidium",1.2938349220994,0.682185478224632,0.586663869592951,0.89798370378093
"50","Fomitopsis",0.00301936708314762,0.00754372824396446,0,0
"51","Fungi_gen_Incertae_sedis",0.0532252549274795,0.0996338052886711,6.37471015800528,0.260903572211061
"52","Fusarium",3.17422317151282,3.86553463673372,19.7535070070743,1.33376677052442
"53","Fusicolla",0.0714368399945435,0.0623382199337398,0.398748997999154,0.0742983905996052
"54","Galactomyces",0.00425642343231742,0.0805325982647076,0,0.0260598662175084
"55","Geotrichum",0.674848375566548,0.273853260714925,1.88877370971476,0.29290824776378
"56","Gibberella",0,0.0132342763039103,0.0111044970942359,0
"57","Gibellulopsis",0,0,0.0650891459185473,0
"58","Hannaella",0.0114948710525605,0.000336778578188199,0,0.132139446020599
"59","Hanseniaspora",0.0342420891883266,0,0.00886869351190298,0
"60","Hormonema",0,0.0422388133493082,0.00508328857829259,0
"61","Huntiella",0.109604778319997,0,0,0
"62","Hyphopichia",0.0270955364274345,0.0257540459488517,0.00800758763908963,0.00612917289702874
"63","Inopinatum",0,0.0200478677916418,0,0
"64","Iodophanus",0.0109709117348384,0.000691295427929152,0,0.00789425485014376
"65","Irpex",0.00564469523575936,0.0278119058264713,0,0
"66","Issatchenkia",0.0354982340228021,0.0204748945856414,0.0056979092374267,0.0066492037421134
"67","Kazachstania",0.224321367368534,0,0,0.156592837530224
"68","Kluyveromyces",0.0149761139077294,7.25006488808075e-05,0.0671294777404645,0
"69","Knufia",0.00716844538019215,0.081064233270395,0.00197751285383355,0.00588272693695518
"70","Kurtzmaniella",0.0540637379510394,0.0548984753385155,0,0.00364126693331361
"71","Kwoniella",0.0119131397581854,0.000530433254345928,0,0.00731032537125642
"72","Lasiobolidium",0.0776704703019512,0.164388264209541,0,0.0348644290077917
"73","Lecanicillium",0.0235717067308312,0.0069185127608561,0.192316271046984,0.00695741797825397
"74","Leptographium",0,0,0,0.00109731090489101
"75","Leucosporidium",1.22211681746585,0.619399200722976,0.00987189376074213,0.983376248117536
"76","Malassezia",0.209811561842212,0.014882617394698,0.00235415383200106,0.00526270219797307
"77","Meyerozyma",0.730090645259647,0.587302578755301,0.00442025093764573,1.57772202808158
"78","Microascus",0,0.00330648765943658,0,0.0010485537785089
"79","Mortierella",0,0.0293869738406943,0.0260081910854683,0
"80","Mrakia",0.133057719897111,0.154751233782679,0,0.0542367104402806
"81","Mucor",2.86418972810974,3.47960025681175,0.196069021960461,5.2439359749148
"82","Naganishia",4.54096582921278,2.20398981450521,0.559959032239559,1.81772875365032
"83","Nakazawaea",0.0067401202217362,0.00161918115833803,0,0
"84","Neoascochyta",0.0360978646989157,0.134434459092186,0.0214417224901519,0.00365516268562821
"85","Neocucurbitaria",0.0987767149690809,0.057276188558243,0.0183241392745198,0.00025699046179901
"86","Neophaeotheca",0,0,0,0.275610116549077
